カード名,仕様,R,型番,タイプ,21-01-25,21-01-26,21-01-27
レジロックV,,-,005/024,闘,30,30,30
ガラルネギガナイトV,,RR,065/100,闘,50,50,50
ガラルネギガナイトV,,SR,106/100,闘,400,400,400
タイレーツV,,RR,102/190,闘,10,10,10
タイレーツV,,RR,061/096,闘,10,10,10
タイレーツV,,SR,102/096,闘,100,100,100
フライゴン,,U,046/100,闘,10,10,10
ガラルヤドランV,,-,059/127,悪,100,100,100
クロバットV,,RR,108/190,悪,600,600,600
クロバットV,,RR,053/100,悪,600,600,600
クロバットV,,SR,105/100,悪,"2,000","2,000","2,000"
クロバットVMAX,,RRR,109/190,悪,30,30,30
ムゲンダイナV,,P,079/S-P,悪,400,400,400
ムゲンダイナV,,RR,124/190,悪,50,50,50
ムゲンダイナV,,RR,064/100,悪,50,50,50
ムゲンダイナV,,SR,106/100,悪,"1,000","1,000","1,000"
ムゲンダイナVMAX,,P,080/S-P,悪,"2,500","2,500","2,500"
ムゲンダイナVMAX,,RRR,125/190,悪,100,100,100
ムゲンダイナVMAX,,RRR,065/100,悪,100,100,100
ムゲンダイナVMAX,,HR,112/100,悪,"1,600","1,600","1,600"
オーロンゲV,,-,006/020,悪,10,10,10
オーロンゲVMAX,RRR仕様,-,007/020,悪,50,50,50
カラマネロV,,RR,070/096,悪,10,10,10
カラマネロV,,SR,103/096,悪,100,100,100
カラマネロVMAX,,RRR,071/096,悪,30,30,30
カラマネロVMAX,,HR,109/096,悪,150,150,150
ヤミラミV,,RR,036/060,悪,50,50,50
ヤミラミV,,SR,064/060,悪,200,200,200
ドラピオンV,,RR,069/100,悪,10,10,10
ドラピオンV,,SR,107/100,悪,100,100,100
ガラルジグザグマ,,P,135/S-P,悪,"3,500","3,500","3,500"
ガラルマッスグマ,ミラー,-,111/190,悪,10,10,10
ガラルタチフサグマ,,UR,119/100,悪,"1,000","1,000","1,100"
ガラルタチフサグマ,,P,082/S-P,悪,30,30,30
グレッグル,ミラー,-,113/190,悪,10,10,10
フォクスライ,,P,084/S-P,悪,100,100,100
サザンドラ,,-,004/020,悪,500,500,500
ドガース,,-,104/190,悪,10,10,10
ドガース,ミラー,-,104/190,悪,10,10,10
ガラルマタドガス,,R,064/096,悪,10,10,10
フーパ,,P,081/S-P,悪,10,10,10
ハガネールV,,RR,046/076,鋼,10,10,10
ハガネールV,,SR,081/076,鋼,100,100,100
ジュラルドンV,,-,073/127,鋼,10,10,10
ザシアン,未開封,-,003/007,鋼,300,300,300
ザシアンV,,RR,137/190,鋼,150,150,200
ザシアンV,,RR,046/060,鋼,200,200,250
ザシアンV,,SR,065/060,鋼,"2,800","2,800","2,800"
ザシアンV,,UR,073/060,鋼,"8,500","8,500","8,500"
ザマゼンタV,,SR,065/060,鋼,300,300,300
ザマゼンタV,,UR,073/060,鋼,"2,500","2,500","2,500"
ガラルマッギョV,,RR,055/070,鋼,30,30,30
ガラルマッギョV,,SR,076/070,鋼,250,250,250
ダイオウドウV,,P,037/S-P,鋼,100,100,100
ダイオウドウV,,RR,075/096,鋼,100,100,100
ダイオウドウV,,SR,104/096,鋼,400,400,400
ダイオウドウVMAX,,RRR,076/096,鋼,150,150,150
ダイオウドウVMAX,,HR,110/096,鋼,600,600,600
ハッサムV,,RR,066/100,鋼,50,50,50
ハッサムV,,SR,107/100,鋼,250,250,250
ハッサムVMAX,,RRR,067/100,鋼,50,50,50
ハッサムVMAX,,HR,113/100,鋼,700,700,700
ガラルニャース,,-,001/007,鋼,10,10,10
ガラルニャイキング,R仕様,-,127/190,鋼,10,10,10
ガラルニャイキング,,UR,113/096,鋼,"1,300","1,300","1,300"
ギルガルドV,,RR,080/100,鋼,10,10,10
ギルガルドV,,SR,108/100,鋼,250,250,250
ギルガルドVMAX,,RRR,081/100,鋼,10,10,10
ギルガルドVMAX,,HR,115/100,鋼,500,500,500
ジュラルドン,,P,030/S-P,鋼,150,150,150
トゲキッスV,,RR,058/076,無,10,10,10
トゲキッスV,,SR,082/076,無,250,250,250
トゲキッスVMAX,,RRR,059/076,無,10,10,10
トゲキッスVMAX,,HR,088/076,無,600,600,600
メタモンV,,RR,140/190,無,30,30,30
メタモンVMAX,,RRR,141/190,無,10,10,10
ツツケラ,,C,061/076,無,10,10,10
ケララッパ,,C,062/076,無,10,10,10
イーブイ,,P,075/S-P,無,150,150,150
イーブイ,,P,117/S-P,無,50,50,50
イーブイ,,P,100/S-P,無,100,150,150
イーブイV,,-,075/127,無,30,30,30
イーブイVMAX,,P,101/S-P,無,"3,300","3,300","3,400"
ウッウV,,RR,155/190,無,10,10,10
ウッウV,,RR,051/060,無,10,10,10
ウッウV,,SR,066/060,無,400,400,400
ウッウVMAX,RRR仕様,-,004/004,無,"2,400","2,400","2,400"
チルタリス,,-,079/127,無,50,50,50
カビゴン,,R,084/100,無,300,300,300
カビゴン,,-,010/023,無,10,10,10
カビゴン,ミラー,-,010/023,無,100,100,100
カビゴンＶ,,RR,045/060,無,30,30,30
カビゴンＶ,,SR,066/060,無,200,200,200
カビゴンVMAX,,RRR,046/060,無,150,150,150
カビゴンVMAX,,HR,070/060,無,700,700,700
ボーマンダV,,RR,080/100,無,200,200,200
ボーマンダV,,SR,108/100,無,500,500,500
ボーマンダVMAX,,RRR,081/100,無,200,200,200
ボーマンダVMAX,,HR,114/100,無,900,900,900
ウールー,ミラー,-,011/024,無,50,50,50
バイウールーV,,SR,076/070,無,200,200,200
ヤレユータン,,UR,092/076,無,"2,600","2,600","2,600"
ヤレユータン,,R,049/060,無,30,30,30
ヤレユータン,R仕様,-,147/190,無,30,30,30
チラーミィ,,-,010/023,無,250,250,250
チラーミィ,ミラー,-,010/023,無,300,300,300
ルギア,,-,008/020,無,30,30,30
イーブイ,,P,044/S-P,無,150,150,150
ヨクバリスV,,P,076/S-P,無,10,10,10
ルギア,,P,151/S-P,無,300,300,300
あなぬけのヒモ,,UR,062/051,グッズ,"17,000","17,000","15,000"
あなぬけのヒモ,,TR,051/054,グッズ,300,300,300
あなぬけのヒモ,ミラー,-,044/049,グッズ,30,30,30
あなぬけのヒモ,ミラー,-,089/114,グッズ,30,30,30
あなぬけのヒモ,ミラー,-,100/131,グッズ,150,150,150
あなぬけのヒモ,,Ｐ,169/BW-P,グッズ,150,150,150
あなぬけのヒモ,,U,060/070,グッズ,10,30,30
あなぬけのヒモ,,U,077/095,グッズ,10,30,30
あなぬけのヒモ,,U,079/095,グッズ,10,30,30
あなぬけのヒモ,,U,054/059,グッズ,10,30,30
妖しいカンヅメ,,UR,085/070,グッズ,900,900,900
英雄のメダル,,UR,093/076,グッズ,500,500,500
エネルギーつけかえ,,UR,090/078,グッズ,"9,500","9,500","9,500"
エネルギーつけかえ,LEGENDミラー,U,063/070,グッズ,"2,500","2,500","2,500"
エネルギーつけかえ,ミラー,-,011/023,グッズ,"3,300","3,300","3,300"
エネルギーつけかえ,LEGEND,-,063/070,グッズ,800,800,800
エネルギーつけかえ,,-,085/127,グッズ,150,150,150
エネルギーつけかえ,,-,011/023,グッズ,150,150,150
エネルギーつけかえ,,-,002/024,グッズ,150,150,150
エネルギーつけかえ,,U,053/066,グッズ,30,30,30
エネルギーつけかえ,,-,037/059,グッズ,30,30,30
エネルギーつけかえ,,-,049/072,グッズ,30,30,30
エネルギーつけかえ,,P,004/XY-P,グッズ,30,30,30
エネルギーつけかえ,,U,045/060,グッズ,30,30,30
エネルギーつけかえ,,-,015/035,グッズ,30,30,30
エネルギーつけかえ,,-,029/034,グッズ,30,30,30
エネルギーつけかえ,,U,051/064,グッズ,30,30,30
エネルギーつけかえ,,-,106/131,グッズ,30,30,30
エネルギー回収,,UR,096/081,グッズ,"2,700","2,700","2,700"
エネルギー回収,ミラー,-,012/024,グッズ,600,600,600
エネルギー回収,,-,001/024,グッズ,30,30,50
エネルギー回収,,-,012/024,グッズ,30,30,50
エネルギー回収,,U,053/060,グッズ,30,30,10
エネルギー回収,,U,060/072,グッズ,30,30,10
エネルギー回収,,U,072/087,グッズ,100,100,100
エネルギー回収,,-,015/022,グッズ,30,30,10
エネルギー回収,,-,019/026,グッズ,30,30,10
エネルギー回収,,-,036/059,グッズ,30,30,10
エネルギー回収,,-,048/072,グッズ,30,30,10
エネルギー回収,,P,003/XY-P,グッズ,30,30,10
エネルギー回収,,U,048/053,グッズ,30,30,10
エネルギー回収,,-,031/037,グッズ,30,30,10
エネルギー回収,,U,050/064,グッズ,30,30,10
エネルギー回収,ポカブマーク入り,-,031/038,グッズ,30,30,10
エネルギー転送,ミラー,-,013/024,グッズ,150,150,150
エネルギー転送,ミラー,-,012/023,グッズ,150,150,150
エネルギー転送,ミラー,-,011/023,グッズ,150,150,150
エネルギー転送,ミラー,-,012/024,グッズ,150,150,150
エネルギー転送,,-,013/024,グッズ,50,50,30
エネルギー転送,,-,012/023,グッズ,50,50,30
エネルギー転送,,-,011/023,グッズ,50,50,30
エネルギー転送,,-,012/024,グッズ,50,50,30
エネルギー転送,,-,015/020,グッズ,50,50,30
エネルギー転送,,-,013/019,グッズ,50,50,30
エネルギー転送,,-,009/016,グッズ,50,50,30
エネルギー転送,,U,078/090,グッズ,50,50,30
エネルギー転送,,-,009/015,グッズ,50,50,30
エネルギー転送,,-,008/014,グッズ,50,50,30
エネルギー転送,,-,086/127,グッズ,50,50,30
エール団のおうえんタオル,ミラー,-,156/190,グッズ,10,10,10
回収ネット,,UR,114/096,グッズ,"4,200","4,200","4,200"
回収ネット,ミラー,-,157/190,グッズ,200,200,200
回収ネット,,-,157/190,グッズ,100,100,100
回収ネット,,U,086/096,グッズ,100,100,100
オボンのみ,ミラー,-,019/024,グッズ,10,10,10
きずぐすり,ミラー,-,012/023,グッズ,10,10,10
逆境グローブ,,P,045/S-P,グッズ,150,150,200
クイックボール,,UR,074/060,グッズ,"9,000","9,000","9,000"
クイックボール,ミラー,-,013/023,グッズ,"2,700","2,700","2,700"
クイックボール,ミラー,-,013/024,グッズ,"2,700","2,700","2,700"
クイックボール,,-,003/024,グッズ,30,30,30
クイックボール,,U,052/060,グッズ,30,30,30
クイックボール,,-,013/023,グッズ,30,30,30
クイックボール,,-,013/024,グッズ,30,30,30
クイックボール,sC,-,009/021,グッズ,30,30,30
クイックボール,,-,009/020,グッズ,30,30,30
クイックボール,,-,DP2,グッズ,200,200,200
クイックボール,,-,088/127,グッズ,30,30,30
クイックボール,,-,011/020,グッズ,30,30,30
クイックボール,,-,012/021,グッズ,30,30,30
クイックボール,SC2,-,009/021,グッズ,30,30,30
クイックボール,,-,008/033,グッズ,30,30,30
クイックボール,,-,158/190,グッズ,30,30,30
クイックボール,ミラー,-,158/190,グッズ,150,150,150
くちたけん,ミラー,-,168/190,グッズ,10,10,10
くちたたて,ミラー,-,169/190,グッズ,10,10,10
クラッシュハンマー,,UR,076/066,グッズ,"6,500","6,500","6,500"
クラッシュハンマー,ミラー,-,012/023,グッズ,"1,300","1,300","1,300"
クラッシュハンマー,ミラー,-,013/023,グッズ,"1,300","1,300","1,300"
クラッシュハンマー,,-,012/023,グッズ,10,10,10
クラッシュハンマー,,-,013/023,グッズ,10,10,10
クラッシュハンマー,,U,053/060,グッズ,10,10,10
クラッシュハンマー,,U,054/066,グッズ,10,10,10
クラッシュハンマー,,-,008/014,グッズ,10,10,10
クラッシュハンマー,,-,021/026,グッズ,10,10,10
クラッシュハンマー,,-,035/039,グッズ,10,10,10
クラッシュハンマー,,-,040/059,グッズ,10,10,10
クラッシュハンマー,,-,051/072,グッズ,10,10,10
クラッシュハンマー,,-,004/029,グッズ,10,10,10
クラッシュハンマー,,-,051/072,グッズ,10,10,10
クラッシュハンマー,,-,108/131,グッズ,10,10,10
クラッシュハンマー,ミュウツーマーク入り,-,040/051,グッズ,10,10,10
クラッシュハンマー,,-,089/127,グッズ,10,10,10
クラッシュハンマー,,-,012/020,グッズ,10,10,10
げんきのハチマキ,,P,136/S-P,グッズ,"30,000","30,000","30,000"
げんきのハチマキ,ミラー,-,019/023,グッズ,600,600,600
げんきのハチマキ,ミラー,-,019/024,グッズ,600,600,600
しあわせタマゴ,,U,057/060,グッズ,10,10,10
しあわせタマゴ,,-,104/127,グッズ,10,10,10
しんかのおこう,ミラー,-,014/023,グッズ,"1,500","1,500","1,500"
しんかのおこう,ミラー,-,013/023,グッズ,"1,500","1,500","1,500"
しんかのおこう,ミラー,-,159/190,グッズ,30,30,30
しんかのおこう,,-,159/190,グッズ,10,10,10
しんかのおこう,,-,013/023,グッズ,10,10,10
しんかのおこう,,-,014/023,グッズ,10,10,10
しんかのおこう,,-,004/024,グッズ,10,10,10
しんかのおこう,,U,052/060,グッズ,10,10,10
しんかのおこう,,-,010/020,グッズ,10,10,10
しんかのおこう,sC,-,010/021,グッズ,10,10,10
しんかのおこう,,-,090/127,グッズ,10,10,10
しんかのおこう,,-,013/020,グッズ,10,10,10
しんかのおこう,,-,013/021,グッズ,10,10,10
しんかのおこう,SC2,-,010/021,グッズ,10,10,10
しんかのおこう,,-,009/033,グッズ,10,10,10
スーパーボール,ミラー,-,015/023,グッズ,400,400,400
スーパーボール,ミラー,-,014/023,グッズ,400,400,400
スーパーボール,ミラー,-,014/024,グッズ,400,400,400
すごいきずぐすり,ミラー,-,160/190,グッズ,10,10,10
スマホロトム,,-,011/020,グッズ,400,400,400
スマホロトム,sC,-,011/021,グッズ,400,400,400
スマホロトム,SC2,-,011/021,グッズ,400,400,400
そっくりベル,,U,064/070,グッズ,30,30,30
たっぷりバケツ,,U,063/070,グッズ,10,10,10
たっぷりバケツ,,-,092/127,グッズ,10,10,10
たっぷりバケツ,,-,162/190,グッズ,10,10,10
たっぷりバケツ,ミラー,-,162/190,グッズ,10,10,10
ターボパッチ,,UR,118/100,グッズ,"1,300","1,300","1,300"
ターボパッチ,,U,090/100,グッズ,10,10,10
ターボパッチ,,-,010/033,グッズ,10,10,10
ターボパッチ,,-,161/190,グッズ,10,10,10
ターボパッチ,ミラー,-,161/190,グッズ,30,30,30
タフネスマント,,UR,094/076,グッズ,"1,200","1,200","1,200"
タフネスマント,,U,092/100,グッズ,10,10,10
タフネスマント,,-,170/190,グッズ,10,10,10
タフネスマント,ミラー,-,170/190,グッズ,30,30,30
ツールスクラッパー,,UR,115/096,グッズ,"2,500","2,500","2,000"
ツールスクラッパー,,U,088/096,グッズ,30,30,30
ツールスクラッパー,,U,048/050,グッズ,30,30,30
ツールスクラッパー,,-,093/127,グッズ,30,30,30
ツールスクラッパー,,P,139/BW-P,グッズ,800,800,800
ツールスクラッパー,,-,011/033,グッズ,30,30,30
ツールスクラッパー,,-,163/190,グッズ,30,30,30
ツールスクラッパー,ミラー,-,163/190,グッズ,30,30,30
ともだちてちょう,,P,406/SM-P,グッズ,"18,000","18,000","18,000"
ともだちてちょう,,P,031/S-P,グッズ,"18,000","18,000","18,000"
ともだちてちょう,ミラー,-,015/024,グッズ,150,150,150
ともだちてちょう,,TR,091/094,グッズ,30,30,30
ともだちてちょう,,-,015/024,グッズ,30,30,30
ともだちてちょう,,C,054/066,グッズ,30,30,30
ともだちてちょう,,-,011/021,グッズ,30,30,30
ともだちてちょう,,P,006/XY-P,グッズ,30,30,30
ともだちてちょう,,P,272/SM-P,グッズ,30,30,30
ともだちてちょう,,-,006/029,グッズ,30,30,30
ともだちてちょう,,P,329/SM-P,グッズ,30,30,30
ともだちてちょう,,-,094/127,グッズ,30,30,30
ビッグパラソル,,UR,086/070,グッズ,"1,100","1,100","1,100"
ふうせん,,UR,075/060,グッズ,"3,400","3,400","3,400"
ふうせん,,U,057/060,グッズ,30,30,30
ふうせん,,-,105/127,グッズ,30,30,30
ふうせん,,-,017/033,グッズ,30,30,30
ふうせん,,-,171/190,グッズ,30,30,30
ふうせん,ミラー,-,171/190,グッズ,50,50,50
ふしぎなアメ,,UR,066/051,グッズ,"6,500","6,500","6,500"
ふしぎなアメ,,UR,086/076,グッズ,"5,800","5,800","5,800"
ふしぎなアメ,ミラー,U,071/080,グッズ,"2,500","2,500","2,500"
ふしぎなアメ,ミラー,-,015/023,グッズ,400,400,400
ふしぎなアメ,,U,071/080,グッズ,200,200,200
ふしぎなアメ,,P,136/XY-P,グッズ,30,30,30
ふつうのつりざお,,UR,074/060,グッズ,"1,400","1,400","1,400"
ふつうのつりざお,,U,054/060,グッズ,30,30,30
ふつうのつりざお,,-,013/033,グッズ,30,30,30
ふつうのつりざお,,-,164/190,グッズ,30,30,30
ふつうのつりざお,ミラー,-,164/190,グッズ,30,30,50
望遠スコープ,,UR,120/100,グッズ,"1,100","1,100","1,100"
望遠スコープ,,U,091/100,グッズ,50,50,50
ポケギア3.0,,UR,069/055,グッズ,"1,200","1,200","1,200"
ポケギア3.0,,U,064/070,グッズ,200,200,200
ポケギア3.0,ミラー,U,064/070,グッズ,800,800,800
ポケギア3.0,,TR,092/094,グッズ,30,30,30
ポケモンいれかえ,,UR,072/060,グッズ,"30,000","30,000","30,000"
ポケモンいれかえ,,UR,079/070,グッズ,"18,000","18,000","18,000"
ポケモンいれかえ,LEGENDミラー,-,064/070,グッズ,"4,500","4,500","4,500"
ポケモンいれかえ,LEGEND,-,064/070,グッズ,700,700,700
ポケモンいれかえ,LEGEND,-,012/019,グッズ,700,700,700
ポケモンいれかえ,ミラー,-,017/023,グッズ,600,600,600
ポケモンいれかえ,ミラー,-,016/023,グッズ,600,600,600
ポケモンいれかえ,ミラー,-,017/024,グッズ,600,600,600
ポケモンいれかえ,ミラー,-,016/024,グッズ,600,600,600
ポケモンいれかえ,,P,092/SM-P,グッズ,50,50,50
ポケモンいれかえ,エンブオーマーク入り,-,018/022,グッズ,50,50,50
ポケモンいれかえ,ケロマツ,-,036/039,グッズ,50,50,50
ポケモンいれかえ,トゲキッスマーク入り,-,018/022,グッズ,10,10,10
ポケモンいれかえ,ハリマロン,-,036/039,グッズ,50,50,50
ポケモンいれかえ,ピカチュウマーク入り,-,022/026,グッズ,10,10,10
ポケモンいれかえ,フォッコ,-,036/039,グッズ,50,50,50
ポケモンいれかえ,ミュウツーマーク入り,-,043/051,グッズ,10,10,10
ポケモンいれかえ,ライチュウマークいり,-,043/051,グッズ,10,10,10
ポケモンいれかえ,リザードンマーク入り,-,043/051,グッズ,10,10,10
ポケモンいれかえ,ロケット団マーク入り,-,022/026,グッズ,10,10,10
ポケモンキャッチャー,,UR,076/069,グッズ,"3,300","3,300","3,300"
ポケモンキャッチャー,,P,093/SM-P,グッズ,30,30,30
ポケモン通信,ミラー,U,065/070,グッズ,"2,800","3,000","3,000"
ポケモン通信,,UR,116/095,グッズ,"2,300","2,300","2,300"
ポケモン通信,,U,065/070,グッズ,"1,100","1,100","1,100"
ポケモン通信,,P,330/SM-P,グッズ,200,200,200
ポケモン通信,学園祭2019,P,402/SM-P,グッズ,200,200,200
ポケモン通信,ミラー,-,131/173,グッズ,200,200,200
ポケモン通信,ミラー,-,132/173,グッズ,200,200,200
ポケモン通信,,-,131/173,グッズ,150,150,150
ポケモン通信,,-,132/173,グッズ,150,150,150
ポケモン通信,,-,016/024,グッズ,150,150,150
ポケモン通信,,TR,094/095,グッズ,200,200,200
ポケモン通信,,U,082/095,グッズ,150,150,150
ポケモン通信,,U,050/053,グッズ,150,150,150
ポケモン通信,,U,054/064,グッズ,150,150,150
ポケモン通信,,-,015/033,グッズ,150,150,150
メタルソーサー,,UR,075/060,グッズ,"2,800","2,800","2,800"
メタルソーサー,,U,054/060,グッズ,10,10,10
メタルソーサー,,-,005/007,グッズ,10,10,10
メタルソーサー,,-,099/127,グッズ,10,10,10
メタルソーサー,,-,016/033,グッズ,10,10,10
メタルソーサー,,-,166/190,グッズ,10,10,10
メタルソーサー,ミラー,-,166/190,グッズ,30,30,30
モンスターボール,LEGENDミラー,-,066/070,グッズ,600,600,600
モンスターボール,LEGEND,-,066/070,グッズ,100,100,100
モンスターボール,LEGEND,-,008/009,グッズ,100,100,100
モンスターボール,LEGEND,-,008/010,グッズ,100,100,100
モンスターボール,LEGEND,-,009/010,グッズ,100,100,100
モンスターボール,LEGEND,-,009/011,グッズ,100,100,100
モンスターボール,,-,061/072,グッズ,30,30,30
モンスターボール,ハリマロンロゴ入り,-,038/039,グッズ,30,30,30
モンスターボール,フォッコロゴ入り,-,038/039,グッズ,30,30,30
モンスターボール,ケロマツロゴ入り,-,038/039,グッズ,30,30,30
